ID,名称,昵称,等级,职位,加入时间,上次登录时间,下线时间,本周功勋,累计功勋,斗技积分,累计勋章,赠送次数,受赠次数,今日任务完成次数,本周任务完成次数,道馆完成次数
57f4f8b330fe005a60b1080a,不语的相星冬雪,,60,成员,2019-05-04 08:42:50,2019-08-30 19:18:19,2019-08-30 20:57:58,142,8115,1000,53997,2,144,0,31,56
582c5c6bcbead967916cd699,染柒城,,54,成员,2019-05-05 07:39:40,2019-08-31 22:48:50,2019-08-31 23:05:23,10,4576,1000,17778,317,64,0,0,22
582ba0944b30443e561e5cff,真不是这样的,,47,成员,2019-05-06 19:05:05,2019-08-26 00:22:43,2019-08-26 01:03:00,0,3941,1000,10904,151,179,0,0,11
58157a203f8d0432afdf4aac,七生丶,,60,成员,2019-05-07 10:00:07,2019-09-01 00:08:40,2019-09-01 00:43:40,785,5721,1000,31929,61,93,0,180,8
5813afb23974c94721788e11,葡萄是我的拔剑吧,,60,成员,2019-05-09 00:03:39,2019-08-30 19:19:31,2019-08-30 20:58:01,171,9020,1000,76529,8,14,0,31,61
58ba2b14ce845911e7c03247,唯你一生,,49,成员,2019-05-10 19:30:52,2019-07-15 12:28:15,2019-07-15 12:46:29,0,3060,1000,17438,224,101,0,0,10
57ff48ffc435c92c208e1a70,小小仙儿,,60,成员,2019-05-14 18:59:16,2019-08-31 21:21:55,2019-08-31 23:01:50,335,5510,1000,100445,60,188,0,180,0
5b7c16d456331a078338bbfe,离别的纵横团扇,,43,成员,2019-05-15 02:52:20,2019-09-01 00:08:30,2019-09-01 00:43:10,0,0,1000,3763,35,0,0,0,0
585d17700f0a7e3b5b969d58,枫之名,,60,成员,2019-05-22 09:33:28,2019-08-22 13:20:03,2019-08-22 13:43:15,0,268,1000,70284,18,53,0,0,0
57f0e9063f8d045e0e8be0d8,乔乔初次告白,,60,成员,2019-05-22 10:37:37,2019-08-31 23:15:47,2019-08-31 23:32:56,12,2994,1000,37102,42,155,0,0,6
57e55caebd72b63f3ebf137c,橘皆无,,51,成员,2019-05-22 23:31:53,2019-08-29 11:46:38,2019-08-29 12:21:54,40,2529,1000,44996,96,131,0,20,21
57e4e229bd72b63f4b515ddc,白泽真火,,52,成员,2019-05-22 23:35:32,2019-08-29 11:00:45,2019-08-29 12:01:26,40,1479,1000,35119,68,128,0,20,7
5897fb2ae048f65c57f44cc8,Lepazah,,57,成员,2019-05-29 23:44:42,2019-08-29 18:29:36,2019-08-29 18:49:03,10,1890,1000,12895,15,84,0,0,16
57dc16f3c68929726c204ee8,hitagi,,60,成员,2019-06-02 01:05:00,2019-08-24 12:05:45,2019-08-24 12:23:49,0,0,1000,30845,4,38,0,0,0
5cf5e37bbf82c676c19a796c,要你寡,,21,成员,2019-06-04 12:23:46,2019-08-31 22:34:37,2019-08-31 23:04:06,65,540,1000,1567,8,63,0,30,1
58305e10e04b923eb2cd92ca,十鬼风花夜,,60,成员,2019-06-04 22:42:28,2019-08-31 21:20:26,2019-08-31 23:19:01,396,4103,1000,42442,61,67,0,70,13
57ef34b2eb464f5dd7b4113e,欧气满满妖刀君,,60,成员,2019-06-06 10:13:13,2019-07-05 09:57:32,2019-07-05 11:03:00,0,105,1000,91780,2,8,0,0,0
5806d5faf1f82019b79402a4,.蒾夨.°,,60,成员,2019-06-06 23:38:02,2019-08-19 20:32:30,2019-08-19 23:39:41,0,2160,1000,46015,1,2,0,0,0
58385ac8fa75e43ba10c3f39,多格格,,54,成员,2019-06-07 17:50:25,2019-09-01 08:00:07,2019-09-01 08:20:49,208,2969,1000,24884,100,23,20,80,18
592568badf49a06b581121f1,酸奶冰淇淋,,18,成员,2019-06-08 10:18:00,2019-07-30 18:51:03,2019-07-30 19:14:18,0,0,1000,1380,19,9,0,0,0
